,sacrum height,hump position,horn length,withers height,muzzle circumference,stripe mullet,body length,tail length,distance base horn,head length,sex,age,genotype
359,115.0,1,25.0,110.0,37.0,0,96.0,114.0,14.0,46.0,0,6.0,0
360,119.0,1,43.0,110.0,38.0,0,86.0,116.0,13.0,48.0,0,7.0,0
361,110.0,1,24.0,106.0,37.0,0,87.0,107.0,13.0,45.0,0,4.0,0
362,103.0,1,36.0,108.0,34.0,0,88.0,104.0,14.0,44.0,0,6.0,0
363,122.0,1,23.0,111.0,37.0,0,77.0,107.0,15.0,47.0,1,4.0,0
364,129.0,1,33.0,122.0,41.0,0,94.0,129.0,18.0,53.0,1,3.0,0
365,115.0,1,25.0,114.0,36.0,0,90.0,111.0,14.0,46.0,1,3.0,0
366,127.0,1,35.0,121.0,38.0,0,79.0,114.0,14.0,47.0,0,12.0,0
367,117.0,1,29.0,114.0,36.0,0,83.0,106.0,14.0,45.0,0,5.0,0
368,121.0,1,37.0,117.0,36.0,0,93.0,117.0,12.0,47.0,0,6.0,0
369,125.0,1,35.0,118.0,38.0,0,90.0,115.0,13.0,46.0,0,6.0,0
370,132.0,1,35.0,129.0,39.0,0,94.0,122.0,16.0,51.0,0,9.0,0
371,123.0,1,47.0,117.0,37.0,0,84.0,110.0,12.0,47.0,0,10.0,0
372,119.0,1,36.0,116.0,36.0,0,94.0,110.0,12.0,50.0,0,7.0,0
373,114.0,1,22.0,114.0,38.0,0,93.0,97.0,12.0,45.0,0,6.0,0
374,104.0,1,35.0,101.0,36.0,0,75.0,80.0,11.0,44.0,0,11.0,0
375,123.0,1,29.0,117.0,40.0,0,90.0,86.0,11.0,47.0,0,6.0,0
376,132.0,1,15.0,126.0,43.0,0,85.0,81.0,14.0,48.0,1,4.0,0
377,128.0,1,47.0,113.0,41.0,0,89.0,59.0,12.0,50.0,0,8.0,0
378,128.0,1,38.0,121.0,40.0,0,92.0,129.0,14.0,48.0,0,8.0,0
379,129.0,1,43.0,123.0,38.0,0,99.0,124.0,15.0,50.0,0,6.0,0
380,123.0,1,20.0,117.0,43.0,0,98.0,127.0,16.0,48.0,1,5.0,0
381,129.0,1,31.0,120.0,42.0,0,99.0,126.0,17.0,48.0,1,5.0,0
382,115.0,0,41.0,108.0,36.0,0,93.0,120.0,14.0,47.0,0,10.0,0
383,125.0,0,39.0,119.0,41.0,0,96.0,134.0,16.0,47.0,0,7.0,0
384,121.0,0,35.5,113.0,36.0,0,89.0,105.0,13.5,46.0,0,8.0,0
385,125.0,1,47.0,16.0,41.0,0,107.0,115.0,13.0,50.0,0,10.0,0
